id,depair,destair,indepartcode,inarrivecode,outflightno,outdepartdate,outdeparttime,outarrivaldate,outarrivaltime,outbookingclass,outflightclass,outcarriercode,inflightno,indepartdate,indeparttime,inarrivaldate,inarrivaltime,inbookingclass,inflightclass,incarriercode,originalprice,originalcurrency,reservation,carrier,oneway
1736775,LHR,AUH,SIN,LHR,AF1081,11/01/2018,06:15:00,11/01/2018,20:20:00,,Economy,AF,AF257,29/01/2018,23:05:00,30/01/2018,07:45:00,,Economy,AF,843,GBP,LU8I2N,Air France,0
1739169,LHR,MIA,MIA,LHR,IB4635,11/01/2018,09:15:00,11/01/2018,14:05:00,,Economy,IB,IB4634,27/01/2018,17:25:00,28/01/2018,06:45:00,,Economy,IB,1613.01,GBP,S3F2TB,British Airways,0
1821732,LHR,FLL,FLL,LHR,AC865,12/01/2018,13:00:00,12/01/2018,21:24:00,,Economy,AC,UA1417,22/01/2018,12:40:00,23/01/2018,06:20:00,,Economy,UA,790.42,GBP,QJGRDT,Air Canada,0
1702955,LHR,SIN,SIN,LHR,BA11,12/01/2018,19:05:00,13/01/2018,15:55:00,,Premium Economy,BA,BA16,23/01/2018,22:55:00,24/01/2018,04:55:00,,Premium Economy,BA,2443.14,GBP,WURCIH,British Airways,0
1796658,LHR,SIN,DPS,LHR,BA11,12/01/2018,19:05:00,13/01/2018,15:55:00,,Economy,BA,BA6372,26/01/2018,09:35:00,26/01/2018,22:00:00,,Economy,BA,2499.88,GBP,S6526N,British Airways,0
1828723,LGW,MCO,MCO,LGW,DL4396,12/01/2018,13:00:00,12/01/2018,17:35:00,,Economy,DL,DL4397,20/01/2018,20:05:00,21/01/2018,09:05:00,,Economy,DL,912.2,GBP,Q7CDLY,Virgin Atlantic,0
1831464,LGW,MCO,MCO,LGW,DL4396,12/01/2018,13:00:00,12/01/2018,17:35:00,,Premium Economy,DL,VS16,20/01/2018,20:05:00,21/01/2018,09:05:00,,Premium Economy,VS,1994.2,GBP,MSMKIC,Virgin Atlantic,0
1859357,LGW,DXB,DXB,LGW,EK10,12/01/2018,20:25:00,13/01/2018,07:20:00,,Economy,EK,EK9,20/01/2018,14:35:00,20/01/2018,18:25:00,,Economy,EK,971.94,GBP,UDXYJY,Emirates,0
1759730,LGW,SIN,DPS,LGW,EK16,12/01/2018,13:35:00,13/01/2018,14:40:00,,Economy,EK,EK361,28/01/2018,16:30:00,29/01/2018,06:40:00,,Economy,EK,1060.54,GBP,MT62S2,Emirates,0
1687540,LHR,SIN,DPS,LHR,EK2,12/01/2018,13:40:00,13/01/2018,14:40:00,,Economy,EK,EK361,24/01/2018,16:30:00,25/01/2018,06:50:00,,Economy,EK,1031.74,GBP,MJTB26,Emirates,0
